	task	pos_x	pos_y	radians	degrees	cues	cond
0	perception	0.4290344788722768	6.986839730231315	0.06132907833510498	3.5138973500287287	hairdryer02a.png	0
1	perception	3.895638061676995	5.815840789809631	0.5901910007985826	33.81545345236098	lion.png	1
2	perception	5.292560895524207	4.581353420897368	0.8573029128383892	49.11983866991158	tractor.png	2
3	perception	6.958017374450348	0.7655025910126565	1.4612196634109724	83.72171965497544	playground.png	3
4	perception	6.94841001193289	-0.8482914039826026	1.6922794033268025	96.96046756754299	sprinkler.png	4
5	perception	5.971020527393967	-3.6533428338221796	2.119880352377117	121.46019726391455	stapler03a.png	5
6	perception	3.202950821089569	-6.2242353777537724	2.6663385521051053	152.7699457886453	sunglasses04.png	6
7	perception	1.2132029235941633	-6.894065467210373	2.9673983369632575	170.01940084213396	tire.png	7
8	perception	-2.5407082197127795	-6.522637636898429	3.5130334146348616	201.28198794700975	medal02b.png	8
9	perception	-3.539332471594884	-6.039298440672894	3.6716918481825216	210.3724465734475	knife03.png	9
10	perception	-6.28818003064452	-3.0755149003383937	4.25750369029042	243.93699271501424	snowglobe.png	10
11	perception	-6.864746808393372	-1.3693981366472687	4.515490886646874	258.7185702346519	toytank.png	11
12	perception	-6.736304491905479	1.9032082892668534	4.98774223221271	285.7765792049485	giraffe.png	12
13	perception	-5.064179510691191	4.832606531003278	5.474392606383608	313.65959174340327	siamesecat.png	13
14	perception	-3.7092295840620295	5.936464932324541	5.724714523986086	328.0019811416468	walkietalkie.png	14
15	perception	-1.4960678709424564	6.838258617918286	6.06779986376239	347.65932312364083	telephone01b.png	15
16	ltm	0.670734374247772	6.967791285565495	0.09596642986990454	5.498471406483728	pillbottle.png	16
17	ltm	4.537277262980355	5.330395392355196	0.7051951768564243	40.40470736685478	dolly01.png	17
18	ltm	6.039144416947741	3.539595275063087	1.0406536160848576	59.625060136689825	ram.png	18
19	ltm	6.54964577130951	2.4702510541172615	1.2101350877575785	69.33563316920275	seagull.png	19
20	ltm	6.698491691664139	-2.0322915776793713	1.8653652503323568	106.87755609440832	tissuebox01b.png	20
21	ltm	5.863000497699649	-3.824294073940139	2.148769831262273	123.1154424763663	peppermill02b.png	21
22	ltm	4.638205014166555	-5.242809766390558	2.41730682553206	138.50147889115388	measuringtape01.png	22
23	ltm	0.20226519360008766	-6.997077160604842	3.112693603569143	178.3442064018793	bowl01.png	23
24	ltm	-1.5398724539289517	-6.8285278666511156	3.363388445633169	192.70796279784673	pugdog.png	24
25	ltm	-3.4674701029888	-6.080842958412825	3.6598336488184526	209.69302179726162	horse.png	25
26	ltm	-6.188970890109569	-3.2705717117006263	4.226239994810314	242.14571491202193	key01.png	26
27	ltm	-6.996199469114822	-0.23063605172973334	4.679435008846136	268.11187651264663	honeybee.png	27
28	ltm	-6.936774801524072	0.9386987551609238	4.8468940043879	277.70657019868975	litterbox.png	28
29	ltm	-5.494346573418969	4.337298206390613	5.380639847427015	308.2879543374832	blueberry01.png	29
30	ltm	-4.519750602817995	5.345264678977681	5.581273607747261	319.78342203167256	car.png	30
31	ltm	-1.0510526530455264	6.920642189892927	6.132464932782458	351.3643586604129	trampoline.png	31
32	wm	0.5322590123653668	6.979734976613069	0.07611046263268825	4.360808285641197	keyboard.png	32
33	wm	3.9917086388547776	5.750327133519635	0.6068029622577823	34.76724873340711	snowshovel.png	33
34	wm	5.1803492990596425	4.707863755434333	0.8331445501238867	47.735666446424375	coffeemaker.png	34
35	wm	6.926785405554007	1.0097742051587633	1.4260378287586317	81.70594901386922	skunk.png	35
36	wm	6.8753448104861645	-1.3151554040952604	1.7597989199392483	100.82905090419958	drumset.png	36
37	wm	5.9553670146133415	-3.6788046592956496	2.124150176194272	121.70484014790196	duck01.png	37
38	wm	4.272569755752378	-5.544830717184256	2.4850686946571097	142.38394800393706	baseball01a.png	38
39	wm	0.8518597101452762	-6.947973448008506	3.0195960181028494	173.0101076718022	cinderblock.png	39
40	wm	-0.1292355751690797	-6.998806910189101	3.1600559275946334	181.05786767647095	skateboard.png	40
41	wm	-3.293939741148808	-6.176565468096369	3.631521176250754	208.07083661155258	fryingpan02a.png	41
42	wm	-6.303337158841973	-3.0443292630663334	4.26245711616236	244.22080311160732	garlic01a.png	42
43	wm	-6.735916474983428	-1.9045811198389075	4.436831926886451	254.21174381949027	slipper01b.png	43
44	wm	-6.519609142044723	2.548469469106286	5.0850199118979145	291.35017969173623	shoppingcart.png	44
45	wm	-5.7328398961535045	4.016783131446192	5.3235591094135515	305.01746895781974	mailtruck.png	45
46	wm	-4.585430256219132	5.289029151493699	5.5689213407632066	319.07568926606746	ear.png	46
47	wm	-2.587505455779658	6.504215211407946	5.904559843074509	338.30635889059704	wetfloorsign.png	47
